10mUP: 10mup_GO
GO ID,GO name,GO namespace,Gene ID(s),Exact p-value,Adjusted p-value,# genes / category,# genes / input
GO:0016021,integral component of membrane,CC,NCU00585 | NCU08045 | NCU08408 | NCU04433 | NCU05046 | NCU02996 | NCU03112 | NCU00195 | NCU00356 | NCU11180 | NCU00754 | NCU00821 | NCU00828 | NCU00988 | NCU01065 | NCU01132 | NCU01140 | NCU01411 | NCU01514 | NCU01633 | NCU01689 | NCU01968 | NCU02100 | NCU02360 | NCU02623 | NCU02723 | NCU02977 | NCU03235 | NCU04090 | NCU04144 | NCU04391 | NCU04656 | NCU04942 | NCU05075 | NCU05157 | NCU05198 | NCU05360 | NCU05519 | NCU05585 | NCU05627 | NCU05897 | NCU06132 | NCU06262 | NCU06384 | NCU06601 | NCU06662 | NCU07068 | NCU07263 | NCU07478 | NCU07607 | NCU07609 | NCU07884 | NCU07915 | NCU08428 | NCU08439 | NCU08561 | NCU08880 | NCU08927 | NCU08976 | NCU09550 | NCU09698 | NCU09792 | NCU09799 | NCU09912 | NCU09933 | NCU10762 | NCU10987 | NCU16807 | NCU07205 | NCU10775 | NCU08147,0.0002007425,0.009891128,71 / 613,71 / 608
GO:0055085,transmembrane transport,BP,NCU04433 | NCU00195 | NCU00754 | NCU00755 | NCU00821 | NCU00988 | NCU01132 | NCU01411 | NCU01514 | NCU01633 | NCU01968 | NCU03235 | NCU04391 | NCU04656 | NCU04672 | NCU05157 | NCU05198 | NCU05360 | NCU05519 | NCU05585 | NCU05627 | NCU05897 | NCU06132 | NCU06384 | NCU06601 | NCU06662 | NCU07068 | NCU07607 | NCU07609 | NCU07884 | NCU08428 | NCU08439 | NCU08561 | NCU09550 | NCU09698 | NCU09799 | NCU09912 | NCU10987 | NCU07205 | NCU08515,0.0004327834,0.0166348,40 / 302,40 / 608
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF,NCU08828 | NCU03608 | NCU06232 | NCU00742 | NCU01078 | NCU04832 | NCU07318 | NCU03100 | NCU06211 | NCU03857,0.0004526454,0.0166348,10 / 38,10 / 608
GO:0009098,leucine biosynthetic process,BP,NCU06232 | NCU04385 | NCU02010,0.0004603727,0.0166348,3 / 3,3 / 608
GO:0003871,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,MF,NCU06512 | NCU08434 | NCU10020,0.0004603727,0.0166348,3 / 3,3 / 608
GO:0030248,cellulose binding,MF,NCU07340 | NCU07225 | NCU00762 | NCU02240 | NCU00836 | NCU05159 | NCU07134,0.000705794,0.02390877,7 / 21,7 / 608
GO:0006096,glycolytic process,BP,NCU02542 | NCU07807 | NCU01528 | NCU00575 | NCU07914 | NCU07550,0.000848167,0.02704156,6 / 16,6 / 608
GO:0005975,carbohydrate metabolic process,BP,NCU07340 | NCU02542 | NCU07807 | NCU04797 | NCU07225 | NCU03641 | NCU09923 | NCU00762 | NCU02240 | NCU00836 | NCU02583 | NCU00281 | NCU00575 | NCU00742 | NCU00743 | NCU02136 | NCU02322 | NCU05151 | NCU05159 | NCU05429 | NCU07027 | NCU07134 | NCU08516 | NCU09042 | NCU09111 | NCU06211,0.001627599,0.04900882,26 / 183,26 / 608
GO:0000103,sulfate assimilation,BP,NCU01985 | NCU04069 | NCU09896,0.001735357,0.04950335,3 / 4,3 / 608

10mDown: Table 1
GO ID,GO name,GO namespace,Gene ID(s),Exact p-value,Adjusted p-value,# genes / category,# genes / input
GO:0003735,structural constituent of ribosome,MF,NCU01552 | NCU00464 | NCU00475 | NCU00706 | NCU00971 | NCU00979 | NCU01827 | NCU01948 | NCU01966 | NCU03230 | NCU03302 | NCU05032 | NCU05717 | NCU06432 | NCU06661 | NCU07549 | NCU07857 | NCU08552 | NCU08960 | NCU08990 | NCU09089 | NCU09109 | NCU16635 | NCU03635 | NCU04552 | NCU05599 | NCU03738 | NCU04553,1.475535E-11,5.370946E-09,28 / 122,28 / 435
GO:0005840,ribosome,CC,NCU01552 | NCU00464 | NCU00475 | NCU00706 | NCU00971 | NCU00979 | NCU01827 | NCU01948 | NCU01966 | NCU03230 | NCU03302 | NCU05032 | NCU05717 | NCU06432 | NCU06661 | NCU07549 | NCU07857 | NCU08552 | NCU08960 | NCU08990 | NCU09089 | NCU09109 | NCU09442 | NCU16635 | NCU03635 | NCU04552 | NCU05599 | NCU03738 | NCU04553,3.178023E-10,5.784001E-08,29 / 147,29 / 435
GO:0006412,translation,BP,NCU01552 | NCU00464 | NCU00040 | NCU00475 | NCU00706 | NCU00931 | NCU00971 | NCU00979 | NCU01827 | NCU01948 | NCU01966 | NCU03230 | NCU03302 | NCU05032 | NCU05717 | NCU06432 | NCU06464 | NCU06661 | NCU07857 | NCU08552 | NCU08990 | NCU09089 | NCU09109 | NCU16635 | NCU03635 | NCU04552 | NCU05599 | NCU03738 | NCU04553,9.598379E-09,0.000001164603,29 / 169,29 / 435
GO:0030529,ribonucleoprotein complex,CC,NCU01552 | NCU00464 | NCU02611 | NCU00475 | NCU00505 | NCU00706 | NCU00971 | NCU00979 | NCU01008 | NCU01827 | NCU01966 | NCU03302 | NCU06432 | NCU07041 | NCU08552 | NCU08960 | NCU03635 | NCU04552 | NCU05599 | NCU03738 | NCU04553,9.750625E-07,0.00008873069,21 / 121,21 / 435
GO:0005622,intracellular,CC,NCU02017 | NCU01552 | NCU00464 | NCU00475 | NCU00706 | NCU00979 | NCU01008 | NCU01827 | NCU01948 | NCU01966 | NCU03302 | NCU03400 | NCU06432 | NCU06661 | NCU07547 | NCU07857 | NCU08960 | NCU08990 | NCU09089 | NCU09109 | NCU03635 | NCU04552 | NCU05599 | NCU03738 | NCU04553,0.000002472513,0.000179999,25 / 171,25 / 435
GO:0042254,ribosome biogenesis,BP,NCU02640 | NCU11175 | NCU00919 | NCU08668 | NCU09094 | NCU01301 | NCU00475 | NCU02123 | NCU07041 | NCU07547 | NCU09070 | NCU10220 | NCU02528,0.0000123709,0.0007505011,13 / 61,13 / 435
GO:0006364,rRNA processing,BP,NCU02640 | NCU00919 | NCU08668 | NCU09094 | NCU02611 | NCU03133 | NCU07011 | NCU07041 | NCU07942 | NCU08660 | NCU10220 | NCU02528,0.00003064033,0.001593297,12 / 57,12 / 435
GO:0005375,copper ion transmembrane transporter activity,MF,NCU00830 | NCU03281 | NCU07428,0.0001456168,0.005889392,3 / 3,3 / 435
GO:0035434,copper ion transmembrane transport,BP,NCU00830 | NCU03281 | NCU07428,0.0001456168,0.005889392,3 / 3,3 / 435
GO:0003899,DNA-directed RNA polymerase activity,MF,NCU00419 | NCU00727 | NCU02605 | NCU04508 | NCU05251 | NCU06485 | NCU11012,0.0007534586,0.02742589,7 / 30,7 / 435

1hrup: Table 1
GO ID,GO name,GO namespace,Gene ID(s),Exact p-value,Adjusted p-value,# genes / category,# genes / input
GO:0016021,integral component of membrane,CC,NCU00765 | NCU00552 | NCU00585 | NCU07953 | NCU04874 | NCU02802 | NCU02973 | NCU08408 | NCU04433 | NCU06619 | NCU00034 | NCU00035 | NCU00356 | NCU00377 | NCU11180 | NCU00542 | NCU00589 | NCU00754 | NCU00803 | NCU01065 | NCU01132 | NCU01285 | NCU01411 | NCU01456 | NCU01494 | NCU01514 | NCU01633 | NCU01735 | NCU01788 | NCU01968 | NCU02100 | NCU02360 | NCU02623 | NCU02969 | NCU03228 | NCU03235 | NCU03257 | NCU03561 | NCU03991 | NCU04144 | NCU04180 | NCU04391 | NCU04435 | NCU04656 | NCU04817 | NCU04886 | NCU04921 | NCU04942 | NCU05157 | NCU05627 | NCU05830 | NCU05835 | NCU05843 | NCU06011 | NCU06077 | NCU06132 | NCU06194 | NCU06231 | NCU06262 | NCU06382 | NCU06384 | NCU06968 | NCU07068 | NCU07337 | NCU07465 | NCU07478 | NCU07531 | NCU07607 | NCU07609 | NCU07884 | NCU07915 | NCU08152 | NCU08439 | NCU08448 | NCU08561 | NCU08880 | NCU08976 | NCU09039 | NCU09069 | NCU09207 | NCU09368 | NCU09444 | NCU09550 | NCU09580 | NCU09799 | NCU09811 | NCU09909 | NCU09912 | NCU09975 | NCU10314 | NCU10987 | NCU07205 | NCU08147 | NCU00371,2.54706E-13,1.197118E-10,94 / 613,94 / 626
GO:0055085,transmembrane transport,BP,NCU00765 | NCU04433 | NCU00121 | NCU00589 | NCU00754 | NCU00755 | NCU00803 | NCU01132 | NCU01285 | NCU01411 | NCU01494 | NCU01514 | NCU01633 | NCU01788 | NCU01968 | NCU03228 | NCU03235 | NCU04391 | NCU04435 | NCU04656 | NCU04672 | NCU04886 | NCU05157 | NCU05627 | NCU05830 | NCU06011 | NCU06077 | NCU06132 | NCU06382 | NCU06384 | NCU07068 | NCU07607 | NCU07609 | NCU07884 | NCU08152 | NCU08178 | NCU08439 | NCU08561 | NCU09039 | NCU09069 | NCU09207 | NCU09368 | NCU09444 | NCU09550 | NCU09580 | NCU09799 | NCU09811 | NCU09909 | NCU09912 | NCU09975 | NCU10314 | NCU10987 | NCU07205,8.380962E-10,1.969526E-07,53 / 302,53 / 626
GO:0016491,oxidoreductase activity,MF,NCU00552 | NCU07953 | NCU04874 | NCU01830 | NCU08699 | NCU08791 | NCU03297 | NCU04077 | NCU05238 | NCU03813 | NCU04923 | NCU01195 | NCU06232 | NCU07452 | NCU09040 | NCU01233 | NCU02097 | NCU02128 | NCU02179 | NCU02603 | NCU02906 | NCU03131 | NCU03151 | NCU03247 | NCU03348 | NCU03893 | NCU03935 | NCU04108 | NCU04234 | NCU04393 | NCU04419 | NCU04474 | NCU04591 | NCU04832 | NCU06061 | NCU06441 | NCU06652 | NCU06931 | NCU07022 | NCU07318 | NCU07332 | NCU07563 | NCU07690 | NCU07853 | NCU08057 | NCU08402 | NCU08669 | NCU09050 | NCU09115 | NCU09735 | NCU09738 | NCU10011 | NCU10051 | NCU10059 | NCU11395 | NCU12058 | NCU16454 | NCU05298 | NCU04720 | NCU06025 | NCU06031 | NCU03857 | NCU03350,3.663862E-07,0.00005740051,63 / 458,63 / 626
GO:0055114,oxidation-reduction process,BP,NCU00552 | NCU07953 | NCU04874 | NCU01830 | NCU08699 | NCU08791 | NCU03297 | NCU04077 | NCU05238 | NCU03813 | NCU04923 | NCU01195 | NCU06232 | NCU07452 | NCU09040 | NCU00602 | NCU01233 | NCU02005 | NCU02097 | NCU02128 | NCU02179 | NCU02603 | NCU02906 | NCU03131 | NCU03151 | NCU03195 | NCU03247 | NCU03348 | NCU03651 | NCU03893 | NCU03935 | NCU04072 | NCU04108 | NCU04234 | NCU04393 | NCU04419 | NCU04474 | NCU04591 | NCU04594 | NCU04817 | NCU04832 | NCU04921 | NCU05340 | NCU06061 | NCU06441 | NCU06652 | NCU06931 | NCU07022 | NCU07318 | NCU07332 | NCU07563 | NCU07690 | NCU07853 | NCU08057 | NCU08402 | NCU08669 | NCU09050 | NCU09115 | NCU09735 | NCU09738 | NCU10011 | NCU10029 | NCU10051 | NCU10059 | NCU11395 | NCU12058 | NCU16454 | NCU05298 | NCU04720 | NCU06025 | NCU06031 | NCU03857 | NCU03350,0.00001134979,0.0013336,73 / 614,73 / 626


1hrdown: Table 1
GO ID,GO name,GO namespace,Gene ID(s),Exact p-value,Adjusted p-value,# genes / category,# genes / input
GO:0007076,mitotic chromosome condensation,BP,NCU02828 | NCU06216 | NCU07679 | NCU09297,0.0000467112,0.01311516,4 / 5,4 / 470
GO:0016798,"hydrolase activity, acting on glycosyl bonds",MF,NCU05924 | NCU08189 | NCU02369 | NCU08054 | NCU08755 | NCU04674 | NCU07190 | NCU05057 | NCU04265 | NCU00701 | NCU01900 | NCU09652,0.00008126613,0.01311516,12 / 59,12 / 470
GO:0008152,metabolic process,BP,NCU03875 | NCU03060 | NCU05924 | NCU08189 | NCU02369 | NCU08054 | NCU08755 | NCU04674 | NCU01059 | NCU07190 | NCU05057 | NCU01320 | NCU04265 | NCU09183 | NCU00701 | NCU00154 | NCU00240 | NCU00299 | NCU00591 | NCU00936 | NCU01056 | NCU01070 | NCU01328 | NCU01900 | NCU01904 | NCU02126 | NCU02134 | NCU02485 | NCU03652 | NCU04039 | NCU04347 | NCU04526 | NCU04583 | NCU04778 | NCU04996 | NCU05159 | NCU05180 | NCU05264 | NCU05574 | NCU05828 | NCU05852 | NCU05977 | NCU06144 | NCU06301 | NCU06832 | NCU07055 | NCU07064 | NCU07119 | NCU07153 | NCU07224 | NCU07544 | NCU07895 | NCU08117 | NCU08356 | NCU08390 | NCU08771 | NCU08997 | NCU09223 | NCU09283 | NCU09652 | NCU09689 | NCU09776 | NCU09914 | NCU10572 | NCU11279 | NCU11365 | NCU16374 | NCU16402 | NCU17060 | NCU06733 | NCU00194 | NCU05011 | NCU02829 | NCU01379 | NCU00200,0.0001066539,0.01311516,75 / 895,75 / 470
GO:0005375,copper ion transmembrane transporter activity,MF,NCU00830 | NCU03281 | NCU07428,0.0001757192,0.01311516,3 / 3,3 / 470
GO:0035434,copper ion transmembrane transport,BP,NCU00830 | NCU03281 | NCU07428,0.0001757192,0.01311516,3 / 3,3 / 470
GO:0000272,polysaccharide catabolic process,BP,NCU05924 | NCU08189 | NCU08054 | NCU08755 | NCU07190 | NCU05057 | NCU09425,0.0001847205,0.01311516,7 / 23,7 / 470
GO:0030245,cellulose catabolic process,BP,NCU08054 | NCU08755 | NCU07190 | NCU05057 | NCU09425,0.0004792216,0.02607592,5 / 13,5 / 470
GO:0005975,carbohydrate metabolic process,BP,NCU00130 | NCU05924 | NCU08189 | NCU02369 | NCU08054 | NCU08755 | NCU07487 | NCU04674 | NCU07190 | NCU05057 | NCU04265 | NCU00701 | NCU01900 | NCU02997 | NCU04401 | NCU05159 | NCU06730 | NCU09326 | NCU09425 | NCU09652 | NCU09705 | NCU10107,0.0005159498,0.02607592,22 / 183,22 / 470
GO:0051082,unfolded protein binding,MF,NCU03982 | NCU02264 | NCU03306 | NCU03401 | NCU07567 | NCU09265 | NCU11102,0.0005508996,0.02607592,7 / 27,7 / 470
GO:0000796,condensin complex,CC,NCU02828 | NCU06216 | NCU07679,0.0006735492,0.02869319,3 / 4,3 / 470
GO:0008080,N-acetyltransferase activity,MF,NCU04039 | NCU04583 | NCU04996 | NCU05574 | NCU07895 | NCU08390 | NCU09914,0.001092042,0.04229181,7 / 30,7 / 470
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF,NCU00130 | NCU05924 | NCU08189 | NCU08054 | NCU08755 | NCU07487 | NCU04674 | NCU07190 | NCU05057 | NCU04265 | NCU01900 | NCU05159 | NCU06730 | NCU09652,0.001388828,0.0463454,14 / 101,14 / 470
GO:0008017,microtubule binding,MF,NCU05180 | NCU06144 | NCU06832 | NCU10897 | NCU06733,0.001414296,0.0463454,5 / 16,5 / 470
GO:0005871,kinesin complex,CC,NCU05180 | NCU06144 | NCU06832 | NCU06733,0.001565652,0.04764056,4 / 10,4 / 470
