gene	log2_fold_change	p_value	q_value
6998_gene	-2.0477908158792	6.82908679589859e-15	8.30256269986071e-13
737_gene	1.98934948228571	1.10394685954338e-14	1.32653335424666e-12
3842_gene	-2.35515635856593	1.20321918301719e-14	1.42920310773559e-12
4488_gene	-1.64016640231695	1.86100541503163e-14	2.18541249533373e-12
1958_gene	2.7120916669029	2.16412902953235e-14	2.51282127990869e-12
5975_gene	-1.68634739002271	2.33569689326664e-14	2.68189907722416e-12
2200_gene	2.07917601234482	2.37777304927059e-14	2.70020952650135e-12
4214_gene	1.46866045555281	3.22773038649133e-14	3.62558324065233e-12
3758_gene	-1.63359231328314	3.58148203753739e-14	3.97968122321628e-12
5399_gene	2.14322845200547	3.78392905625549e-14	4.15990668801534e-12
7880_gene	2.26604326095713	4.33726169417929e-14	4.71802761554198e-12
7026_gene	-1.22863081451107	4.80802308678497e-14	5.17563651862874e-12
3639_gene	1.682076487768	4.93974914892914e-14	5.26261522732306e-12
1300_gene	-1.24692103106544	6.34339499734814e-14	6.68904529618323e-12
550_gene	-2.91419477040129	8.14236274023357e-14	8.49931076339128e-12
2758_gene	1.85280569002497	8.66845298415511e-14	8.95797931382589e-12
8567_gene	1.62560439295534	9.67791676467458e-14	9.90213780654922e-12
2572_gene	2.4149478083045	1.01530512045611e-13	1.02864344262681e-11
3587_gene	-1.26217108918013	1.06323147884713e-13	1.05648404830829e-11
8885_gene	1.68533509167166	1.05519695410669e-13	1.05648404830829e-11
4489_gene	-1.62571800981217	1.27511779049381e-13	1.25495878542505e-11
7361_gene	-2.53931317050238	1.42382612778406e-13	1.38809615136986e-11
8586_gene	2.11960600828289	1.82162255759079e-13	1.75931285141525e-11
8061_gene	-1.80862563870069	1.85170464744034e-13	1.77180702098597e-11
1918_gene	1.65693393928106	2.10301330246796e-13	1.99381096033981e-11
4250_gene	1.7561495384099	2.76632668246433e-13	2.59883817605331e-11
1748_gene	2.06363418698132	3.28754890482019e-13	3.0606784128299e-11
39_gene	1.27675254570215	3.4431455824781e-13	3.17691664726149e-11
1259_gene	2.39224454012813	3.60861681360084e-13	3.30012797803107e-11
5004_gene	-2.40602939045739	5.54332944993891e-13	5.01751324802397e-11
8446_gene	-2.28856530550804	5.58364644399804e-13	5.01751324802397e-11
10520_gene	-1.50086195033767	6.60972669026842e-13	5.88835479458913e-11
2986_gene	-1.80291464920718	9.10839614888902e-13	8.04497143612129e-11
3668_gene	9.29052503898677	9.81922618410517e-13	8.59931215140194e-11
7362_gene	-2.5850964514371	1.27064765066963e-12	1.10343469092605e-10
1032_gene	2.47686795130769	1.35403358955301e-12	1.16604859287007e-10
6027_gene	3.17365455193437	1.61982317147198e-12	1.38340931024723e-10
9742_gene	1.94528311141869	1.65114198348162e-12	1.39859846371304e-10
565_gene	-1.09451508541579	1.9932486888314e-12	1.67465300409624e-10
3205_gene	0.999438808134333	2.17182024374233e-12	1.80996696764784e-10
10561_gene	1.87269045901704	2.429389595656e-12	2.00842496652073e-10
1904_gene	1.49820255520346	2.53770685802084e-12	2.08132243418947e-10
3634_gene	-2.39534358297936	2.70946369462809e-12	2.20469274175486e-10
5169_gene	-2.88714752077774	3.241069452096e-12	2.61665716546563e-10
1530_gene	1.57894203436312	3.273917844255e-12	2.6226873645373e-10
5615_gene	1.72548797241105	4.04518855107616e-12	3.21561372975546e-10
10727_gene	-2.26829986330999	4.71004857324767e-12	3.71554518747645e-10
2708_gene	-2.77578336589569	5.05977556026389e-12	3.96119095755811e-10
4784_gene	-1.30990776310378	5.95883177511423e-12	4.62996748601733e-10
2456_gene	-1.02686918169854	6.83594395564823e-12	5.27183916699021e-10
5293_gene	-1.41102103266495	9.69216992340987e-12	7.40396622219928e-10
9914_gene	1.88249420406217	9.74394625720052e-12	7.40396622219928e-10
8003_gene	4.28838097833397	1.22971076936025e-11	9.2757891172035e-10
85_gene	-2.32751690098258	1.58255067422405e-11	1.17655242211736e-09
9315_gene	25.4359766334861	1.57464175060967e-11	1.17655242211736e-09
3473_gene	1.98332752483124	1.72472467613647e-11	1.27309320022816e-09
6665_gene	-1.92479892585016	1.89135907784468e-11	1.38619182343595e-09
691_gene	2.02952377996647	1.92020984786682e-11	1.3974259554828e-09
10487_gene	24.5173516269228	1.98604509290898e-11	1.43523006923926e-09
4792_gene	-1.62361411971604	2.14577808529234e-11	1.52298764591225e-09
5731_gene	1.3384247039352	2.13804995532398e-11	1.52298764591225e-09
10732_gene	-1.81087522399843	2.15169533871867e-11	1.52298764591225e-09
290_gene	-1.72341358429408	2.3990458901172e-11	1.68651294071232e-09
2896_gene	-1.97390824036589	3.0882001467923e-11	2.15631488628052e-09
7067_gene	1.9246361087865	3.58899242951815e-11	2.4891709910497e-09
2256_gene	2.03680229918888	4.03122496159902e-11	2.77724525021095e-09
6419_gene	1.2533871326301	4.29255372793577e-11	2.93769869036346e-09
84_gene	-2.75725291801887	5.34820726838345e-11	3.61536378084151e-09
6118_gene	-1.98015340661172	5.35272555127493e-11	3.61536378084151e-09
7390_gene	1.1482689066566	6.10946176039175e-11	4.09968687220054e-09
344_gene	1.11709827662657	6.49543820677906e-11	4.33057151153902e-09
5387_gene	-1.42275377400044	6.77577509871904e-11	4.48851665834375e-09
9632_gene	-1.60979675656251	6.82146463041321e-11	4.49000098666816e-09
9253_gene	-2.03502818346728	7.56778818300972e-11	4.94971665083686e-09
6628_gene	2.24922313928004	7.75440972415009e-11	5.00837938058544e-09
8336_gene	-1.86842583109465	7.73616187584976e-11	5.00837938058544e-09
9112_gene	1.57985467018565	9.63298790551696e-11	6.18306192643554e-09
4470_gene	4.34063305488322	1.0166931524241e-10	6.48549817108063e-09
3189_gene	2.06995908365608	1.20302257428838e-10	7.62701551085653e-09
1504_gene	-2.02872433289604	1.24410484752662e-10	7.82339063723429e-09
10166_gene	1.00561831739796	1.24913823799464e-10	7.82339063723429e-09
7070_gene	1.41416818254791	1.34106864814876e-10	8.34855627106585e-09
4462_gene	1.77517158687871	1.40033480139563e-10	8.66530529198947e-09
2412_gene	-1.72696157007864	1.42778003046313e-10	8.78254692547973e-09
2712_gene	-1.53535196576097	1.48785166038329e-10	9.09790476828459e-09
545_gene	-1.40644306009686	1.50125925953624e-10	9.12589011061617e-09
10713_gene	1.35742496196574	1.54897516687672e-10	9.36088267514855e-09
4120_gene	-1.78920657116153	1.65798032103548e-10	9.96137711487248e-09
6152_gene	-1.43058303990981	1.90908237347664e-10	1.14037325130102e-08
7044_gene	2.39686964007455	2.4293601141026e-10	1.44281651834117e-08
1414_gene	1.82916459560368	3.02282893177624e-10	1.78502366748432e-08
2634_gene	1.03928060898934	3.27449721692057e-10	1.92265080907143e-08
10312_gene	2.11312524058041	3.54622696451066e-10	2.07043556221769e-08
2038_gene	1.2948927888651	3.64284169361733e-10	2.11489472257537e-08
8956_gene	-2.17818143521713	4.31558680265019e-10	2.49146782226743e-08
2184_gene	1.27099408700965	4.34430300855026e-10	2.49411262724213e-08
2094_gene	-1.31895975006555	4.85482643169349e-10	2.77181084779671e-08
8946_gene	-2.74360552517061	4.96783012629344e-10	2.82074486401738e-08
2104_gene	-1.37759935022903	5.57862975506401e-10	3.15024917425309e-08
10745_gene	-1.7433228145944	6.08190776532048e-10	3.41578450254467e-08
7635_gene	-1.76951764629106	6.16424856710753e-10	3.44331592932374e-08
4440_gene	-2.81318952417675	6.79797178594911e-10	3.77689464709667e-08
333_gene	1.52623909608471	7.14770854516643e-10	3.9499689896123e-08
8250_gene	-1.62505806693121	7.80617219078526e-10	4.29090337338164e-08
5526_gene	3.46746659004075	8.04450844181386e-10	4.39851588559283e-08
4460_gene	1.91981085180756	9.20744672986526e-10	5.00788181612777e-08
2888_gene	-1.83745050079337	9.27202658457045e-10	5.01660328402885e-08
897_gene	-0.926171936629705	9.5934486961443e-10	5.16347389718516e-08
7283_gene	-1.56288683418739	1.05117674661077e-09	5.62842512926204e-08
4932_gene	-1.39238263229415	1.09114206809096e-09	5.81230006786185e-08
1342_gene	-1.99135366721782	1.18663567183668e-09	6.28856052962062e-08
10148_gene	-1.30126134103133	1.34220415215569e-09	7.07670291243722e-08
4545_gene	-2.70880109795242	1.41508424040799e-09	7.42308656871885e-08
688_gene	-1.36249015148148	1.65353786339625e-09	8.63013145471557e-08
1723_gene	-1.81651160090917	1.73566602037661e-09	9.01325259023714e-08
5388_gene	-1.38159554494512	1.84765898662968e-09	9.54685398391556e-08
714_gene	1.79369817458574	1.92450066060963e-09	9.89442279937307e-08
1838_gene	1.13287405943372	2.02466313871304e-09	1.03578558789409e-07
9193_gene	-1.42587633257074	2.08859784388981e-09	1.06323005511119e-07
14_gene	-2.20389383976166	2.14741207924181e-09	1.08781158955318e-07
5861_gene	-1.06724006293448	2.1737655510401e-09	1.09578991241212e-07
4349_gene	1.22494015449143	2.38181797499901e-09	1.19340883820238e-07
7624_gene	-1.56201235435756	2.39051315567924e-09	1.19340883820238e-07
8818_gene	1.751026296857	2.79099540788939e-09	1.38664166082351e-07
3899_gene	-1.6955307120107	2.86276776766887e-09	1.4154948378512e-07
6284_gene	2.02891046980168	2.95557599247761e-09	1.45442487172684e-07
317_gene	0.940767928778579	3.01311432016743e-09	1.4757120087493e-07
10694_gene	-1.14800078828726	3.03300404211429e-09	1.47844640430232e-07
10205_gene	2.54557559549496	3.48473123850251e-09	1.69066725909319e-07
9972_gene	-1.65776691646203	3.52506566608831e-09	1.70224432679236e-07
10647_gene	1.06695717260791	3.70533678575108e-09	1.7809744346024e-07
1315_gene	1.15638443736046	4.50065695602562e-09	2.15323097146152e-07
4387_gene	2.15756522272723	4.58943258597828e-09	2.1855850849539e-07
3233_gene	1.31832128530495	5.08597907203165e-09	2.41094072157684e-07
5500_gene	1.63275774815299	5.25753444006186e-09	2.46960731379997e-07
9703_gene	-1.82694358200948	5.25651303902709e-09	2.46960731379997e-07
5637_gene	1.13843871927421	5.34368176398795e-09	2.49871526466296e-07
7634_gene	-2.13947494904535	5.80016968897161e-09	2.69995286332579e-07
2696_gene	1.10119798377828	6.13290405108503e-09	2.83301885141855e-07
4974_gene	-2.62765131217507	6.1408575838761e-09	2.83301885141855e-07
8546_gene	-1.70034894243598	6.56559351787708e-09	3.01550415172186e-07
4093_gene	1.74487933268744	7.59506538262729e-09	3.47289405593232e-07
5996_gene	2.1365763951629	7.64506951215832e-09	3.48035895764952e-07
143_gene	1.62132036829619	7.90083647843355e-09	3.58101948105843e-07
8663_gene	2.77062616854776	9.3098993644772e-09	4.20124454290425e-07
566_gene	3.24746486732375	9.49969679165056e-09	4.26825507151813e-07
9288_gene	2.01706010808394	9.98669886537969e-09	4.46764268722224e-07
2292_gene	-1.03044314178946	1.06327846746636e-08	4.73617227706785e-07
222_gene	-1.13502353411851	1.09057271899583e-08	4.81623011884738e-07
950_gene	-1.13465831536057	1.08656944720324e-08	4.81623011884738e-07
2244_gene	-0.813809420673273	1.10834429215284e-08	4.87388507025851e-07
5182_gene	-1.56414280713249	1.15834392303685e-08	5.07217207655202e-07
2540_gene	-1.32695630852397	1.18248232737326e-08	5.15602209750011e-07
237_gene	1.81251000998547	1.21094721430165e-08	5.25795315655178e-07
2265_gene	1.80054514742245	1.2866079668614e-08	5.53991947064405e-07
3797_gene	-1.19032715540725	1.28412629574367e-08	5.53991947064405e-07
6094_gene	1.67605355905411	1.4034502109373e-08	6.01794791694026e-07
4046_gene	1.79015436904624	1.45713364382264e-08	6.22232193192691e-07
8612_gene	1.37486616023438	1.47946117841707e-08	6.29166741471688e-07
9941_gene	-1.18283673149585	1.50184477769541e-08	6.36068193963294e-07
6766_gene	-2.06229031146826	1.52671153472235e-08	6.43960693870236e-07
4015_gene	1.99275767111646	1.61160281620538e-08	6.74263299703095e-07
7071_gene	1.72378967037713	1.61124838377367e-08	6.74263299703095e-07
2160_gene	-0.969678440002572	1.72366999050411e-08	7.1824216459151e-07
3201_gene	-1.57470190592844	1.80101782556254e-08	7.47458562625031e-07
157_gene	2.84088379052645	1.86616941009132e-08	7.71399787355347e-07
1880_gene	-1.68741442475302	1.88492577562805e-08	7.76048723718736e-07
378_gene	-1.70029976802422	1.92872331887133e-08	7.90929634016522e-07
1050_gene	1.03903207196892	1.93832198401274e-08	7.91724086276192e-07
8476_gene	2.8401368225139	2.04000521405967e-08	8.29976924491835e-07
10496_gene	1.07346713618642	2.0827308509464e-08	8.44036886810985e-07
9461_gene	1.96704511336856	2.13413571260532e-08	8.61490564611851e-07
4731_gene	-1.13511634276235	2.20278188602839e-08	8.85741167712738e-07
10402_gene	2.06842209256176	2.239997472937e-08	8.97214491679496e-07
7230_gene	1.53525949687338	2.27190756417492e-08	9.06482346261914e-07
1686_gene	-1.84000380238904	2.45116985487459e-08	9.74245741549002e-07
2887_gene	1.6121628977078	2.65297901499531e-08	1.05041705520926e-06
584_gene	1.96704639449596	2.68972019266729e-08	1.06089955996274e-06
1295_gene	3.45253539522899	2.70858479089503e-08	1.06427814559351e-06
7386_gene	4.25488659638502	2.79630550672842e-08	1.09458413282316e-06
6762_gene	-23.4988772056656	2.94954249828643e-08	1.15021027084121e-06
4182_gene	-1.20039575500104	3.31295515545971e-08	1.28707062317747e-06
1498_gene	-1.91764234066946	3.35382768879584e-08	1.29446802316233e-06
1546_gene	1.08210020596935	3.35704886982295e-08	1.29446802316233e-06
9017_gene	2.00423677722467	3.39237061582577e-08	1.30322520237708e-06
854_gene	1.49456326222114	3.45543304568495e-08	1.32253500348549e-06
6788_gene	-2.12734957867785	3.49876695174646e-08	1.33417925016044e-06
4135_gene	1.78518145762916	3.72077056347991e-08	1.40844113564108e-06
9319_gene	-1.65259760458224	3.71671886181474e-08	1.40844113564108e-06
4308_gene	1.25433324008113	3.78701258364177e-08	1.42828423501292e-06
9101_gene	-0.995577463425678	3.88034831469665e-08	1.45816434487546e-06
2120_gene	1.38068229164653	4.03084159473813e-08	1.50922887826173e-06
1881_gene	-1.77414957444043	4.06408987589696e-08	1.51618428799708e-06
2325_gene	1.95848077965068	4.48559149308696e-08	1.66395457868544e-06
2419_gene	-2.11338936220991	4.49238753099708e-08	1.66395457868544e-06
26_gene	1.15093493680183	4.62660501584089e-08	1.7015332007925e-06
585_gene	1.95551984753809	4.64323942929635e-08	1.7015332007925e-06
4695_gene	1.02981637732869	4.63649142122479e-08	1.7015332007925e-06
142_gene	1.57966923176925	4.6993716542725e-08	1.71601790371915e-06
2133_gene	0.983581757586672	4.81243365148682e-08	1.74852142871611e-06
2949_gene	-2.37686843347388	4.83914388051875e-08	1.74852142871611e-06
6673_gene	-1.13007967628682	4.8252366754228e-08	1.74852142871611e-06
9664_gene	-1.22580209868761	4.86749649597462e-08	1.75263793691295e-06
2941_gene	9.01485431472909	5.09442138507763e-08	1.82797745115945e-06
5092_gene	-1.68187281338354	5.81712680894043e-08	2.07290304977898e-06
9047_gene	1.70972073524793	5.80978521847052e-08	2.07290304977898e-06
7058_gene	1.0687676980144	6.25433761337238e-08	2.22104209266633e-06
7788_gene	2.31013501641175	6.4798056023033e-08	2.29322983199323e-06
7711_gene	22.9427385035726	6.61925926123532e-08	2.33458789097631e-06
2800_gene	-1.97104973914007	6.88084958934679e-08	2.41859522640509e-06
8980_gene	1.51744184353839	6.95741430529209e-08	2.43721760782673e-06
2213_gene	1.02466568734416	7.0385118321379e-08	2.45729666463895e-06
2146_gene	1.50863521606903	7.17462721121447e-08	2.48006473028342e-06
3701_gene	-1.17760052235424	7.17572435024911e-08	2.48006473028342e-06
5165_gene	-1.47433279053311	7.15289902385519e-08	2.48006473028342e-06
2354_gene	1.01155346419903	7.23917334782703e-08	2.49365391254815e-06
10350_gene	-0.957595887080187	7.56108627048335e-08	2.59588921990614e-06
10380_gene	-1.62357559692881	7.78320458347106e-08	2.66329921078112e-06
8886_gene	1.70671212579382	7.84488969491131e-08	2.67554752829087e-06
856_gene	1.50160884124119	8.72056365964611e-08	2.96441792298628e-06
9927_gene	-1.24636664496277	8.76267927138982e-08	2.9689681177227e-06
2453_gene	1.24456042858198	8.83053199636545e-08	2.97641027603219e-06
4047_gene	1.6024233857781	8.84224844921504e-08	2.97641027603219e-06
1308_gene	1.83643376372951	9.44082483332384e-08	3.16758064375223e-06
10586_gene	-1.73313446327823	9.49605756930526e-08	3.17580125958578e-06
1597_gene	1.4033459039768	9.77685285779421e-08	3.25916120749824e-06
6098_gene	2.74030681054039	9.97376360500216e-08	3.30348952224655e-06
8002_gene	1.4886718061797	9.96995032642834e-08	3.30348952224655e-06
992_gene	-0.957213177697074	1.00462713300299e-07	3.31687437458559e-06
10087_gene	1.87284759334001	1.02917545888524e-07	3.38710165354141e-06
9330_gene	1.04472351886436	1.05699448395975e-07	3.46761301499685e-06
576_gene	-1.58769160745235	1.20931662432145e-07	3.9422958977091e-06
2858_gene	-1.68643752006551	1.20799078551566e-07	3.9422958977091e-06
5333_gene	2.32268571422912	1.21313327822756e-07	3.94230166578731e-06
6804_gene	-1.02772936738697	1.23370947021014e-07	3.99659989503185e-06
7132_gene	-1.75227431426802	1.29631609724863e-07	4.18629079655231e-06
8404_gene	1.78851299089176	1.33934326308333e-07	4.31176737716609e-06
1008_gene	-0.849954572936511	1.36634251093202e-07	4.35795787283072e-06
2245_gene	-0.784286229006777	1.36205634473626e-07	4.35795787283072e-06
9071_gene	1.65868893901972	1.36250232329588e-07	4.35795787283072e-06
7863_gene	1.24897341938732	1.46826160365418e-07	4.66862012681918e-06
9070_gene	1.63832115499514	1.49842985521346e-07	4.74993071281469e-06
502_gene	1.15183802302927	1.52281901047657e-07	4.81248062821557e-06
4689_gene	1.06906092799641	1.53918157629717e-07	4.8493604906875e-06
5666_gene	2.53415336852031	1.55102720137167e-07	4.87182829756075e-06
4249_gene	-1.53190912462851	1.61472043184515e-07	5.05652149778419e-06
8855_gene	1.52047680378909	1.73914909697522e-07	5.41336348438008e-06
10696_gene	-1.59533391504529	1.73546555848178e-07	5.41336348438008e-06
9069_gene	1.61754258991421	1.74676420101298e-07	5.42073911509555e-06
9831_gene	-1.10706247258382	1.79384974213175e-07	5.55019258538607e-06
6191_gene	-0.941145820896591	1.87934424784642e-07	5.76295058078484e-06
9536_gene	-0.9903248308012	1.87548055581392e-07	5.76295058078484e-06
10081_gene	-1.94877919870791	1.87457158704021e-07	5.76295058078484e-06
5654_gene	-1.56328803927185	1.91513394216558e-07	5.85532371548494e-06
6035_gene	1.93139002736292	1.95127987013618e-07	5.94823781061572e-06
1332_gene	-1.06348169077487	1.99469531597338e-07	6.0627004103732e-06
4307_gene	1.193224985595	2.03465252955858e-07	6.16601150746579e-06
6480_gene	1.2023160263599	2.11959220679333e-07	6.40463914181353e-06
9734_gene	1.52558326131302	2.14331974314861e-07	6.45745371011595e-06
4980_gene	-0.970615916135653	2.24858005708599e-07	6.75489136916471e-06
10646_gene	-1.16448695869973	2.2853819320812e-07	6.8455469235151e-06
5361_gene	-1.25170101326553	2.36402176753118e-07	7.06063611146452e-06
2490_gene	2.61116618568041	2.40709193445221e-07	7.16855563418708e-06
9849_gene	1.69190586006063	2.52837123054115e-07	7.50810008517593e-06
10252_gene	-1.09688725012336	2.54427145566139e-07	7.51214320651565e-06
10697_gene	-1.56123023715839	2.53824608702385e-07	7.51214320651565e-06
6803_gene	-1.03147328423141	2.55724018288804e-07	7.52892309115814e-06
8097_gene	1.50968640907172	2.70004011271096e-07	7.92676548998723e-06
8096_gene	1.52941487369657	2.73083331875986e-07	7.99445652013156e-06
7372_gene	-0.924650512281028	2.75010744207359e-07	8.02813850462952e-06
7652_gene	1.38291159783637	2.82569092391815e-07	8.22554648106202e-06
600_gene	-1.14256140273426	2.88499361552472e-07	8.37458539967205e-06
5739_gene	-1.32171250651145	2.93299493821982e-07	8.49007554385535e-06
7813_gene	-1.29100030797144	2.9818692018212e-07	8.58626791848799e-06
10633_gene	7.53279388658871	2.98284321921539e-07	8.58626791848799e-06
877_gene	-1.13382655480628	3.12136267238544e-07	8.96004496011976e-06
10076_gene	-1.77515340189098	3.15200242558311e-07	9.02293436730633e-06
8254_gene	-1.55275812171072	3.25488676332162e-07	9.29171265529438e-06
7971_gene	1.01232697963643	3.26700886017213e-07	9.30062522342115e-06
4306_gene	4.78237404739368	3.44771889324889e-07	9.78811182495441e-06
8447_gene	-1.40099424943439	3.63392746860319e-07	1.02884949206973e-05
7014_gene	2.1534008656446	3.65137512372855e-07	1.03096476854128e-05
9953_gene	-1.23116087233112	3.68979097819764e-07	1.03897275119058e-05
10247_gene	1.36770775886589	3.72257344930168e-07	1.04535527242075e-05
4420_gene	-1.98597497010646	3.81737851890561e-07	1.06619056013797e-05
6774_gene	-1.46498359911045	3.8174037860562e-07	1.06619056013797e-05
6941_gene	-1.13346243783051	3.85193502232571e-07	1.07293521619175e-05
447_gene	1.30361738422241	3.87668588321739e-07	1.07692666444001e-05
8815_gene	1.2776320749443	4.03856016865584e-07	1.11888688425977e-05
2534_gene	-1.51241077094945	4.05963729585499e-07	1.1217190324964e-05
4421_gene	-1.9929059593769	4.1394349264458e-07	1.14071788079709e-05
4196_gene	-1.02435434267107	4.28413868052542e-07	1.17745449799334e-05
7982_gene	1.11354600346309	4.31193062685673e-07	1.18194936599304e-05
8600_gene	-1.83708301245953	4.35352180915721e-07	1.19019297290557e-05
3366_gene	1.71447929701113	4.48704287246155e-07	1.22345913044902e-05
4615_gene	-1.19642294426593	4.79057806614766e-07	1.30278509830447e-05
9278_gene	5.19073997031529	4.90309573915364e-07	1.32988428788487e-05
697_gene	-2.25320063251052	5.09434186192328e-07	1.37454122196123e-05
10605_gene	-1.75794760552301	5.08326678026316e-07	1.37454122196123e-05
4908_gene	1.68626927365031	5.42089053737755e-07	1.45884069826197e-05
