	log2_fold_change	p_value	q_value
2146_gene	1.55356859066849	2.90695281398875e-08	1.16888911983501e-06
1049_gene	1.44672440087793	2.91907083970376e-08	1.16921232781002e-06
9521_gene	-1.72018393962604	3.02212297148555e-08	1.20581539719427e-06
2100_gene	1.08170836365642	3.03975161181677e-08	1.20818435217364e-06
908_gene	2.41294354393911	3.07485114241141e-08	1.21745255577316e-06
4735_gene	2.39186417887327	3.16834764541808e-08	1.24716421528892e-06
10380_gene	-1.67142414615998	3.17402930734455e-08	1.24716421528892e-06
8861_gene	-1.16142417082352	3.3835763755697e-08	1.32446508580065e-06
7975_gene	-2.04412167585452	3.44828430100705e-08	1.34470075345686e-06
139_gene	1.15344740982972	3.49879829170083e-08	1.35926998294874e-06
6740_gene	1.72023176059543	3.53144988239174e-08	1.3668165949302e-06
481_gene	1.07205713575255	3.63069575002132e-08	1.39998544331046e-06
10307_gene	1.14234933826896	3.67281620274513e-08	1.41096217989473e-06
10696_gene	-1.68316073783084	3.73666036991111e-08	1.43017215787635e-06
2563_gene	-0.811795380062286	3.88406878414822e-08	1.48110578654567e-06
1280_gene	-1.28202545101622	3.9549127909893e-08	1.50257605816483e-06
8407_gene	-1.22012892234403	4.24201911737004e-08	1.60575185197443e-06
4864_gene	1.73053421228704	4.48159508770844e-08	1.69024830789704e-06
4188_gene	1.46299261083461	4.57038870425422e-08	1.7174689770823e-06
6946_gene	23.1496350904774	5.02072132054869e-08	1.87985993212138e-06
3972_gene	-1.84417118532609	5.05469917914481e-08	1.88574950603908e-06
7985_gene	1.58981110460533	5.20659241635092e-08	1.93542899390541e-06
6027_gene	2.39652698068527	5.50593417914365e-08	2.03936644470504e-06
5606_gene	1.18149335857671	5.54035305844793e-08	2.04478601807146e-06
9850_gene	-1.65012060051953	5.62267626684238e-08	2.06778421856047e-06
2633_gene	1.74299533068908	5.73974250018045e-08	2.10335102825762e-06
735_gene	1.50298435157495	5.85600646051504e-08	2.13837352519302e-06
10020_gene	-1.4063726454725	5.88750233344163e-08	2.14230454626006e-06
2315_gene	1.02677819658659	6.22427640157987e-08	2.25690078364654e-06
7810_gene	1.74556272103384	6.34002452962315e-08	2.29083263947992e-06
3196_gene	1.19893858599693	6.53745909216419e-08	2.34911422933374e-06
9849_gene	1.76495321256985	6.54678631747741e-08	2.34911422933374e-06
2419_gene	-2.08098756654358	7.23654056696966e-08	2.5876266511787e-06
3927_gene	1.93954537124947	7.5103911055797e-08	2.67628902362278e-06
6317_gene	-1.30466455892658	7.59005776302411e-08	2.69538339941894e-06
6832_gene	-1.1235229368876	7.73098595375019e-08	2.72210779935092e-06
8283_gene	1.94116779770939	7.74433610421104e-08	2.72210779935092e-06
10207_gene	1.87539864342512	7.69960677489233e-08	2.72210779935092e-06
4028_gene	-1.03745934692967	8.1424297566115e-08	2.85233454592621e-06
1357_gene	0.889564420464885	8.44516971047115e-08	2.94839134418949e-06
1494_gene	1.19793595409461	8.83427695464725e-08	3.06724554706137e-06
5958_gene	1.55122617129668	8.84496974089693e-08	3.06724554706137e-06
8894_gene	1.18504933949862	9.13544838843477e-08	3.15738206174197e-06
10021_gene	-1.26148876579197	9.55401888684167e-08	3.29104103922073e-06
4091_gene	-1.23189974259496	1.00379677570564e-07	3.44625776748905e-06
6010_gene	-0.894764252620822	1.01405941515355e-07	3.46996357489959e-06
220_gene	-1.23172101257218	1.02597546855807e-07	3.49915197758387e-06
10019_gene	-1.4011604223313	1.03930262304648e-07	3.53294516663234e-06
6646_gene	1.22937324556387	1.04489218498639e-07	3.54030027529488e-06
3098_gene	1.28915209433728	1.09146224759325e-07	3.68600355118582e-06
9917_gene	-1.56498057760479	1.12509674067986e-07	3.78721489191716e-06
4247_gene	1.39176852682652	1.1351734855892e-07	3.80872818184378e-06
5829_gene	-1.58214292398978	1.25162904289552e-07	4.18053125350052e-06
8029_gene	22.446223980573	1.25812388217405e-07	4.18053125350052e-06
8254_gene	-1.60661157934948	1.2568019160207e-07	4.18053125350052e-06
4932_gene	-1.20644536891572	1.2849786147049e-07	4.25607980908988e-06
3842_gene	-1.60537968284061	1.45122451642619e-07	4.79135915423266e-06
606_gene	-1.29637946051248	1.51052358318573e-07	4.95547641544168e-06
5692_gene	-1.47954202039511	1.50883364464648e-07	4.95547641544168e-06
8865_gene	-0.94639539441867	1.53221404357184e-07	5.01072782476944e-06
8250_gene	-1.38778199474234	1.55047535407869e-07	5.05445183250763e-06
9212_gene	-1.70122306384784	1.61284011136293e-07	5.24122317950456e-06
8801_gene	-1.5844900811395	1.64854519737509e-07	5.34045958296998e-06
1807_gene	1.15476163201212	1.67015091938082e-07	5.39354362527544e-06
3722_gene	22.2194469752286	1.68214617145254e-07	5.4153577993117e-06
244_gene	-1.95422997792811	1.72325250139293e-07	5.51731707323107e-06
2200_gene	1.4229037349038	1.72696325187646e-07	5.51731707323107e-06
9326_gene	1.43953576943366	1.72983426720231e-07	5.51731707323107e-06
3667_gene	1.99292835796047	1.75973403404186e-07	5.59541277162724e-06
678_gene	1.09966450730599	1.82923909079509e-07	5.79857569456334e-06
1673_gene	-1.18052947500994	1.9646459778103e-07	6.20876193721458e-06
5678_gene	1.08771548324384	2.28314193686919e-07	7.19328926085556e-06
2158_gene	1.36850717858865	2.35012315455799e-07	7.38181540401284e-06
1985_gene	-0.996876413433256	2.45726864067782e-07	7.69497397962565e-06
1050_gene	0.952597443788844	2.58573574896528e-07	8.07280762229826e-06
3373_gene	2.01649044022827	2.59799904171382e-07	8.08666328225017e-06
6620_gene	-0.910696266372096	2.63627845138452e-07	8.18117162660891e-06
499_gene	-1.09742684721884	2.72121317488883e-07	8.41946615248537e-06
7426_gene	-1.43691580457967	2.73516538528826e-07	8.4373728631549e-06
2012_gene	-1.35905919170953	2.78394802154613e-07	8.56229727817193e-06
6991_gene	2.28123058686519	2.93359563940215e-07	8.99577962539519e-06
6191_gene	-0.926728653060597	2.98317977276678e-07	9.12076324608636e-06
6578_gene	-1.36352261277306	3.06834342434418e-07	9.35346930595067e-06
4958_gene	1.14875260032075	3.19284872728976e-07	9.70438198465069e-06
10590_gene	-1.0420421434995	3.31558982241434e-07	1.0047890095258e-05
5578_gene	-0.932492891900628	3.34625800967346e-07	1.01111784420952e-05
221_gene	-1.24554213931197	3.36234353408316e-07	1.01301627058937e-05
5644_gene	1.52000961964998	3.41873869381857e-07	1.0270129552884e-05
4842_gene	1.81925050758436	3.46961845822654e-07	1.03927643905255e-05
4495_gene	-1.45868903526775	3.49649475596405e-07	1.04429990774949e-05
4490_gene	2.48962758470636	3.52188415304428e-07	1.04885160915157e-05
7202_gene	-1.44804585975106	3.70665671483465e-07	1.10070662330751e-05
2038_gene	1.04813979209502	3.71851721024376e-07	1.101064666208e-05
7623_gene	-1.66645670163446	3.73459554042119e-07	1.10266600899179e-05
8583_gene	1.58015909673074	3.80189985578771e-07	1.11933997463562e-05
429_gene	1.22726071812075	3.98703497077526e-07	1.17051191443158e-05
7433_gene	-1.48761427011184	4.01395782049932e-07	1.17507762371218e-05
4615_gene	-1.2014405384247	4.30276879741548e-07	1.25606815685004e-05
7542_gene	-1.16779522944758	4.32409606672656e-07	1.25873827474795e-05
2602_gene	-0.976543465810061	4.38872722641637e-07	1.27396368420749e-05
6838_gene	21.4430983418559	4.45614700908154e-07	1.28991101377727e-05
1686_gene	-1.66501618657379	4.50574797392501e-07	1.3006256861045e-05
3762_gene	-1.31518753745326	4.57215256049253e-07	1.31611767576963e-05
3170_gene	-1.49672981643502	4.83411470843006e-07	1.38765948324767e-05
4809_gene	-1.14255356851227	4.86978360515359e-07	1.39402614337001e-05
4538_gene	-1.01464410700829	5.10208829524445e-07	1.45649117246011e-05
10195_gene	1.45335306852093	5.12005699969298e-07	1.45759418828725e-05
7770_gene	-1.30206036732548	5.25990453482432e-07	1.4932926775515e-05
6916_gene	1.9951493325749	5.58221708723823e-07	1.58045565423342e-05
5358_gene	1.12876238281717	5.70952643101741e-07	1.61208322781787e-05
1592_gene	1.02335777714688	5.8586225628508e-07	1.64967317614442e-05
4648_gene	1.54031189874976	5.92872122757927e-07	1.66487514037511e-05
7307_gene	1.37227317287704	6.07321177175065e-07	1.70082846745992e-05
8784_gene	0.755483064020947	6.30790308247528e-07	1.76178028254864e-05
9001_gene	3.92733078569533	6.4291486366398e-07	1.79080382779072e-05
3432_gene	-1.33639818084849	6.45427685241363e-07	1.79297034926996e-05
2997_gene	-1.01291670190827	6.55521959355044e-07	1.81612973940349e-05
9753_gene	-1.50746909368054	6.83895646462722e-07	1.88967315789994e-05
9017_gene	1.80358235624493	6.93004130045536e-07	1.90973458130415e-05
7376_gene	1.39944657570865	6.9933328995839e-07	1.92205059000798e-05
1912_gene	-1.09400616194473	7.03315775890012e-07	1.92786876075527e-05
4115_gene	-1.42956961970803	7.13525361067579e-07	1.94553326682648e-05
10147_gene	4.47388723484634	7.13215836050839e-07	1.94553326682648e-05
5619_gene	1.06859236204204	7.36095545309479e-07	2.00179246453373e-05
3433_gene	-1.34676696456633	7.54251310562097e-07	2.04092308662145e-05
6503_gene	-1.24099846254477	7.54434506569956e-07	2.04092308662145e-05
2133_gene	0.888660011554179	7.96446938246107e-07	2.14895108611887e-05
7225_gene	-1.35362410404315	8.42119147234224e-07	2.2662654342496e-05
