Feature Id	Aliases	start	end	score	strand	frame	proteinId	gene	log2_fold_change	p_value	q_value	NCUT	NCU
1484_gene	1484	5607213	5607443	.	-	0	1484	1484_gene	-2.70301386550604	9.446389184062589e-16	1.30158647770804e-13	NCU16402T0	NCU16402
378_gene	378	1500794	1500916	.	-	0	378	378_gene	-1.70029976802422	1.92872331887133e-08	7.90929634016522e-07	NCU02061T0	NCU02061
1881_gene	1881	7033280	7035319	.	+	0	1881	1881_gene	-1.77414957444043	4.06408987589696e-08	1.51618428799708e-06	NCU00829T0	NCU00829
1344_gene	1344	5171443	5171474	.	+	0	1344	1344_gene	-1.09923360117787	0.000138417863692	0.0016310264576892	NCU03282T0	NCU03282
222_gene	222	838144	838158	.	+	0	222	222_gene	-1.13502353411851	1.09057271899583e-08	4.81623011884738e-07	NCU09095T0	NCU09095
1880_gene	1880	7030697	7031380	.	-	0	1880	1880_gene	-1.68741442475302	1.88492577562805e-08	7.76048723718736e-07	NCU00830T0	NCU00830
1476_gene	1476	5582402	5582659	.	+	0	1476	1476_gene	-1.19501210060483	6.58029384680674e-07	1.72590752824621e-05	NCU08374T0	NCU08374
949_gene	949	3408101	3408115	.	+	0	949	949_gene	-1.3573836039285	0.0020873700937623	0.0150845332510068	NCU16374T0	NCU16374
516_gene	516	1983153	1983378	.	+	0	516	516_gene	-1.04347527216996	8.52147650910732e-05	0.0010752251311979	NCU01930T0	NCU01930
1148_gene	1148	4598310	4598975	.	-	0	1148	1148_gene	-1.30336206984943	2.40943947653104e-06	5.23091335093945e-05	NCU03111T0	NCU03111
1467_gene	1467	5552856	5552858	.	+	0	1467	1467_gene	-1.20995064201574	7.03723377099603e-07	1.8272053715948e-05	NCU08379T0	NCU08379
84_gene	84	319261	319440	.	-	0	84	84_gene	-2.75725291801887	5.3482072683834497e-11	3.6153637808415104e-09	NCU08114T0	NCU08114
543_gene	543	2078117	2078174	.	+	0	543	543_gene	-1.14374949876399	2.75874679898807e-05	0.000419865823575	NCU01906T0	NCU01906
650_gene	650	2478511	2478712	.	+	0	650	650_gene	-2.00508773371756	0.0004058441984678	0.0039454317469111	NCU02485T0	NCU02485
1568_gene	1568	5899991	5901375	.	-	2	1568	1568_gene	-1.15986561724226	2.63199740270824e-05	0.0004047479339224	NCU09223T0	NCU09223
542_gene	542	2075650	2075928	.	+	0	542	542_gene	-1.06135314595451	3.60750536529923e-05	0.0005213980481818	NCU01907T0	NCU01907
1453_gene	1453	5505859	5506575	.	-	0	1453	1453_gene	-2.34831972926325	3.4984972117039604e-19	7.69222769909548e-17	NCU08390T0	NCU08390
2560_gene	2560	9442994	9443320	.	-	0	2560	2560_gene	-1.49272580103107	2.2240670180425e-06	4.89010820520239e-05	NCU11402T0	NCU11402
58_gene	58	227270	227641	.	-	0	58	58_gene	-1.23123675917885	1.15955188941377e-06	2.78023415897956e-05	NCU16306T0	NCU16306
1686_gene	1686	6456737	6457014	.	-	2	1686	1686_gene	-1.84000380238904	2.45116985487459e-08	9.74245741549002e-07	NCU00995T0	NCU00995
2094_gene	2094	7749239	7750351	.	+	0	2094	2094_gene	-1.31895975006555	4.85482643169349e-10	2.77181084779671e-08	NCU00633T0	NCU00633
2456_gene	2456	8974541	8974651	.	+	0	2456	2456_gene	-1.02686918169854	6.8359439556482294e-12	5.27183916699021e-10	NCU02829T0	NCU02829
2472_gene	2472	9054604	9056454	.	+	0	2472	2472_gene	-1.11570809100362	0.000869822187057	0.0072960572086426	NCU02808T0	NCU02808
1563_gene	1563	5884342	5884439	.	+	0	1563	1563_gene	-1.03249714613871	0.0004171277339085	0.0040361404515084	NCU09218T1	NCU09218
2540_gene	2540	9376403	9376711	.	+	0	2540	2540_gene	-1.32695630852397	1.18248232737326e-08	5.15602209750011e-07	NCU09259T0	NCU09259
231_gene	231	864346	869930	.	-	2	231	231_gene	-1.1491525733036	8.11299411984806e-05	0.0010305775943825	NCU09104T0	NCU09104
774_gene	774	2832807	2833447	.	-	2	774	774_gene	-1.11947821632619	0.0002920017425491	0.0030235931938908	NCU02590T0	NCU02590
83_gene	83	314022	314273	.	+	0	83	83_gene	-2.18978454478424	0.0011382899649173	0.0092255596930163	NCU08113T0	NCU08113
2388_gene	2388	8725837	8725873	.	+	0	2388	2388_gene	-2.16469382315953	4.63885524965395e-05	0.0006450627062183	NCU02910T0	NCU02910
2620_gene	2620	9666967	9667156	.	+	0	2620	2620_gene	-2.05770373869177	0.00190540351759	0.0139993268417934	NCU08635T0	NCU08635
1275_gene	1275	4940995	4941925	.	-	1	1275	1275_gene	-1.05470147780124	0.0060782449758421	0.0355475855010486	NCU03219T2	NCU03219
1475_gene	1475	5581367	5581666	.	+	0	1475	1475_gene	-1.00541108619994	0.003113893755903	0.0207071930974918	NCU08375T0	NCU08375
2104_gene	2104	7791371	7791616	.	-	0	2104	2104_gene	-1.37759935022903	5.57862975506401e-10	3.15024917425309e-08	NCU11187T0	NCU11187
422_gene	422	1663312	1663333	.	+	0	422	422_gene	-1.12909276250337	5.35245758377126e-05	0.0007268370127554	NCU02017T0	NCU02017
1543_gene	1543	5817509	5818277	.	+	0	1543	1543_gene	-1.9144003137858	0.0010845302183198	0.0088457263426343	NCU09202T2	NCU09202
85_gene	85	325063	328500	.	+	0	85	85_gene	-2.32751690098258	1.5825506742240498e-11	1.1765524221173601e-09	NCU08115T0	NCU08115
964_gene	964	3461533	3461931	.	+	0	964	964_gene	-1.33103216153858	1.56211221535344e-05	0.0002613864165263	NCU16375T0	NCU16375
187_gene	187	726646	727917	.	+	0	187	187_gene	-1.01021970576184	0.0007052968570759	0.0061662755677011	NCU09065T0	NCU09065
1466_gene	1466	5549092	5549182	.	+	0	1466	1466_gene	-1.05337008566994	2.1488282634944e-06	4.74486993054512e-05	NCU08380T0	NCU08380
490_gene	490	1860834	1860996	.	+	0	490	490_gene	-2.09246288247629	0.001523350298993	0.0117717383195501	NCU01958T1	NCU01958
1225_gene	1225	4808279	4809040	.	-	0	1225	1225_gene	-2.44079096225881	0.0013022186671262	0.0102961956435217	NCU03176T2	NCU03176
600_gene	600	2241860	2243270	.	-	1	600	600_gene	-1.14256140273426	2.88499361552472e-07	8.37458539967205e-06	NCU01856T0	NCU01856
550_gene	550	2095251	2096258	.	+	0	550	550_gene	-2.91419477040129	8.14236274023357e-14	8.49931076339128e-12	NCU01900T0	NCU01900
2300_gene	2300	8477691	8478629	.	-	0	2300	2300_gene	-1.14570122010213	0.0021064937138513	0.0151696906194703	NCU02997T0	NCU02997
300_gene	300	1159123	1160571	.	+	0	300	300_gene	-1.39936699464624	4.10957310316448e-06	8.3434829956978e-05	NCU02126T0	NCU02126
286_gene	286	1117012	1117335	.	-	0	286	286_gene	-1.0931017495116	0.0009165728441442	0.007620163935146	NCU02139T0	NCU02139
1761_gene	1761	6672088	6673356	.	-	0	1761	1761_gene	-1.38532307125424	0.0072070054837177	0.0403670431808886	NCU00935T0	NCU00935
2130_gene	2130	7880618	7881255	.	-	2	2130	2130_gene	-3.06637141503965	1.09075350984214e-05	0.0001910482503509	NCU00598T0	NCU00598
324_gene	324	1264806	1265483	.	+	0	324	324_gene	-1.12941286446039	0.000416486438562	0.0040337121425493	NCU02106T0	NCU02106
2419_gene	2419	8839843	8840043	.	-	0	2419	2419_gene	-2.11338936220991	4.49238753099708e-08	1.66395457868544e-06	NCU02876T0	NCU02876
1954_gene	1954	7280989	7282503	.	+	0	1954	1954_gene	-3.52950180456051	0.0008426418926589	0.0071142657832826	NCU00759T1	NCU00759
2051_gene	2051	7623683	7623824	.	+	0	2051	2051_gene	-1.19314122182469	0.000440209179471	0.0042121496857906	NCU00669T0	NCU00669
576_gene	576	2177395	2177403	.	+	0	576	576_gene	-1.58769160745235	1.20931662432145e-07	3.9422958977091e-06	NCU01878T0	NCU01878
1379_gene	1379	5265357	5265536	.	+	0	1379	1379_gene	-1.30277261099285	1.56881388899744e-05	0.0002619082831809	NCU03306T0	NCU03306
1490_gene	1490	5622538	5623086	.	-	0	1490	1490_gene	-4.88364777221156	0.0003461749949004	0.0034649357270018	NCU08362T1	NCU08362
2137_gene	2137	7902897	7902956	.	-	0	2137	2137_gene	-1.17311084719728	2.62314355252994e-05	0.0004039875629186	NCU00591T0	NCU00591
1907_gene	1907	7122039	7122174	.	-	1	1907	1907_gene	-1.29672878738524	3.9468634114659e-05	0.0005602594298638	NCU00801T0	NCU00801
1614_gene	1614	6079880	6080212	.	-	0	1614	1614_gene	-2.38846998948018	0.006909418408337	0.0393278225845364	NCU07396T0	NCU07396
1089_gene	1089	4378267	4378654	.	-	1	1089	1089_gene	-1.07105975650135	1.04257572845982e-05	0.0001848023598268	NCU03060T1	NCU03060
180_gene	180	662738	662846	.	-	1	180	180_gene	-1.37939665994542	5.12817536550055e-06	0.0001015221536917	NCU07428T0	NCU07428
1342_gene	1342	5169654	5169771	.	-	1	1342	1342_gene	-1.99135366721782	1.1866356718366802e-09	6.28856052962062e-08	NCU03281T1	NCU03281
293_gene	293	1140090	1143680	.	+	0	293	293_gene	-1.22282683434374	0.0051898565815038	0.0310335291455486	NCU02131T0	NCU02131
2457_gene	2457	8976446	8976793	.	-	0	2457	2457_gene	-1.34772596329381	1.40826007393176e-06	3.3301967057233e-05	NCU02828T0	NCU02828
803_gene	803	2919981	2920181	.	-	0	803	803_gene	-1.33695155822964	2.56911320269947e-06	5.51958749203666e-05	NCU02614T0	NCU02614
2534_gene	2534	9360214	9361505	.	-	2	2534	2534_gene	-1.51241077094945	4.05963729585499e-07	1.1217190324964e-05	NCU09265T0	NCU09265
316_gene	316	1236167	1236622	.	-	0	316	316_gene	-1.09261865332648	0.0081984560156266	0.0447086250477496	NCU16332T0	NCU16332
111_gene	111	406807	406950	.	+	0	111	111_gene	-1.16099561765866	2.40333408624904e-06	5.22864304153632e-05	NCU07497T0	NCU07497
770_gene	770	2828198	2828210	.	+	0	770	770_gene	-1.16706065602124	0.0002205153355814	0.0023911914773336	NCU02588T0	NCU02588
760_gene	760	2789267	2789812	.	-	0	760	760_gene	-1.153525968348	0.0016244196049942	0.0122889840395388	NCU02578T1	NCU02578
537_gene	537	2050926	2051221	.	+	0	537	537_gene	-1.32216238130266	3.7285831483706006e-16	5.4764249474318204e-14	NCU01912T0	NCU01912
1105_gene	1105	4456799	4457812	.	-	0	1105	1105_gene	-1.03186516307595	0.0003025383186224	0.0031046980979589	NCU03074T0	NCU03074
2567_gene	2567	9458151	9458699	.	+	0	2567	2567_gene	-1.07496919263705	0.0026656788704124	0.0184261708674532	NCU09237T0	NCU09237
2412_gene	2412	8809899	8810129	.	-	0	2412	2412_gene	-1.72696157007864	1.42778003046313e-10	8.782546925479732e-09	NCU02884T0	NCU02884
1498_gene	1498	5648675	5648715	.	+	0	1498	1498_gene	-1.91764234066946	3.35382768879584e-08	1.29446802316233e-06	NCU08356T0	NCU08356
87_gene	87	332263	332937	.	-	0	87	87_gene	-1.44427432803083	0.0008760953096748	0.0073308250446796	NCU08117T0	NCU08117
121_gene	121	448859	449068	.	+	0	121	121_gene	-2.14842785008215	3.69225905638766e-06	7.63116101774202e-05	NCU07487T0	NCU07487
950_gene	950	3409892	3411481	.	-	0	950	950_gene	-1.13465831536057	1.08656944720324e-08	4.81623011884738e-07	NCU02747T0	NCU02747
1465_gene	1465	5549092	5549182	.	+	0	1465	1465_gene	-1.05659248289655	3.09077340923213e-06	6.52320082582741e-05	NCU08380T1	NCU08380
1461_gene	1461	5519094	5519129	.	-	0	1461	1461_gene	-1.55026076807674	0.0005082296256098	0.0047188184645568	NCU08384T0	NCU08384
2015_gene	2015	7495037	7495180	.	+	0	2015	2015_gene	-2.05326723387258	2.41482792031886e-19	5.4249634192554504e-17	NCU00701T0	NCU00701
1485_gene	1485	5607213	5607443	.	-	0	1485	1485_gene	-1.38241614143425	0.001565937853464	0.0119603856450092	NCU16402T1	NCU16402
23_gene	23	114128	117070	.	+	0	23	23_gene	-1.05770781925875	0.0033425690845795	0.0218620942531932	NCU08054T0	NCU08054
290_gene	290	1130770	1133198	.	-	2	290	290_gene	-1.72341358429408	2.3990458901172e-11	1.6865129407123202e-09	NCU02134T0	NCU02134
1542_gene	1542	5817509	5818277	.	+	0	1542	1542_gene	-1.85080942541928	0.0013756632518447	0.010777940898077	NCU09202T1	NCU09202
1785_gene	1785	6744943	6746394	.	-	0	1785	1785_gene	-1.4869755713147	2.30746200487835e-05	0.0003640505703574	NCU00916T2	NCU00916
2986_gene	2986	1520117	1520485	.	+	0	2986	2986_gene	-1.80291464920718	9.10839614888902e-13	8.044971436121289e-11	NCU05395T0	NCU05395
2950_gene	2950	1403142	1403223	.	+	0	2950	2950_gene	-1.85648879680657	0.0003999968460126	0.0038957817384409	NCU16529T0	NCU16529
2712_gene	2712	285765	288118	.	+	0	2712	2712_gene	-1.53535196576097	1.4878516603832902e-10	9.097904768284593e-09	NCU03546T0	NCU03546
3702_gene	3702	4265050	4265179	.	+	0	3702	3702_gene	-1.0858402534742	6.92149648077983e-05	0.0009065493616271	NCU16599T0	NCU16599
3362_gene	3362	2826814	2826903	.	-	0	3362	3362_gene	-1.26214344676414	1.00804389676392e-06	2.46267745370174e-05	NCU01644T0	NCU01644
2890_gene	2890	949301	949317	.	+	0	2890	2890_gene	-1.21408646307687	9.55893443146773e-06	0.0001717948320257	NCU03366T0	NCU03366
3692_gene	3692	4213584	4216733	.	+	0	3692	3692_gene	-1.65822902952009	0.0062781600638648	0.0364895984814281	NCU16595T0	NCU16595
2871_gene	2871	891875	892537	.	-	0	2871	2871_gene	-1.27369810105638	5.66832507800857e-05	0.0007647058923778	NCU03385T0	NCU03385
3469_gene	3469	3211345	3211388	.	-	2	3469	3469_gene	-1.38178577220412	7.68144402052557e-05	0.0009885434932516	NCU01519T0	NCU01519
2664_gene	2664	80189	81050	.	-	1	2664	2664_gene	-1.12995416008908	3.41765511150211e-05	0.0004988424847777	NCU09602T0	NCU09602
3224_gene	3224	2398458	2398805	.	-	0	3224	3224_gene	-1.16981278219408	6.53865107592312e-05	0.0008600897387447	NCU16555T0	NCU16555
3201_gene	3201	2347735	2348036	.	+	0	3201	3201_gene	-1.57470190592844	1.80101782556254e-08	7.47458562625031e-07	NCU01811T0	NCU01811
2985_gene	2985	1514710	1516356	.	-	0	2985	2985_gene	-1.3882993820147	2.24211427609848e-05	0.0003548240264808	NCU05394T0	NCU05394
3711_gene	3711	4292578	4293497	.	-	2	3711	3711_gene	-2.1916686173727	1.46336645348768e-16	2.32652752774487e-14	NCU09767T0	NCU09767
2710_gene	2710	278638	278818	.	+	0	2710	2710_gene	-1.12284068994444	0.003823713928252	0.0243915183546649	NCU03548T0	NCU03548
2869_gene	2869	887145	889347	.	-	1	2869	2869_gene	-1.18534894895097	0.0001261571002416	0.001510669147042	NCU03387T0	NCU03387
2756_gene	2756	461211	462884	.	-	0	2756	2756_gene	-1.33098890594537	3.63404103228903e-05	0.0005244997210569	NCU03502T0	NCU03502
2743_gene	2743	412057	416259	.	+	0	2743	2743_gene	-1.10249766358262	0.0015791156031219	0.0120432329466141	NCU03514T0	NCU03514
3695_gene	3695	4219280	4221688	.	+	0	3695	3695_gene	-1.33236679340511	5.92449919507766e-05	0.0007930540761908	NCU09354T1	NCU09354
2857_gene	2857	845810	846002	.	-	1	2857	2857_gene	-1.03493937380508	0.000143431469913	0.0016767203733953	NCU03401T0	NCU03401
3396_gene	3396	2988369	2991059	.	+	0	3396	3396_gene	-1.19553552452117	0.0006251487744637	0.005622530404968	NCU01597T0	NCU01597
3437_gene	3437	3117112	3117121	.	-	1	3437	3437_gene	-1.2333487100827	4.71500799840414e-05	0.0006522743327377	NCU01548T0	NCU01548
3225_gene	3225	2398458	2398805	.	-	0	3225	3225_gene	-1.17676124946164	4.84559739562452e-05	0.0006676587131517	NCU16555T1	NCU16555
3249_gene	3249	2483983	2485253	.	-	2	3249	3249_gene	-1.26300716508225	0.0001852265040063	0.0020828407969549	NCU16560T0	NCU16560
3416_gene	3416	3056692	3056725	.	+	0	3416	3416_gene	-1.45992638791632	3.99925262301268e-15	5.14722538160789e-13	NCU01569T0	NCU01569
3532_gene	3532	3439560	3439654	.	-	2	3532	3532_gene	-1.2483546433647	9.06364268163786e-05	0.0011298393663696	NCU08501T0	NCU08501
2858_gene	2858	847151	847243	.	+	0	2858	2858_gene	-1.68643752006551	1.20799078551566e-07	3.9422958977091e-06	NCU03400T0	NCU03400
3752_gene	3752	4414062	4414460	.	+	0	3752	3752_gene	-1.04826558422139	0.0070702073472919	0.0399186761825574	NCU09481T0	NCU09481
3060_gene	3060	1793781	1793808	.	+	0	3060	3060_gene	-1.16277729335908	0.0018733972162355	0.0137987789255725	NCU06841T0	NCU06841
3252_gene	3252	2498876	2499131	.	+	0	3252	3252_gene	-1.07496205517828	0.0037661364151617	0.0240688025443915	NCU01769T0	NCU01769
3649_gene	3649	4014196	4014437	.	+	0	3649	3649_gene	-1.24901197955425	5.83502540718023e-05	0.000783105877374	NCU08423T1	NCU08423
3648_gene	3648	4014196	4014437	.	+	0	3648	3648_gene	-13.3038198453666	1.38053265983036e-27	7.50864447720365e-25	NCU08423T0	NCU08423
2708_gene	2708	270633	274235	.	-	0	2708	2708_gene	-2.77578336589569	5.05977556026389e-12	3.9611909575581103e-10	NCU03550T0	NCU03550
3155_gene	3155	2093032	2093237	.	+	0	3155	3155_gene	-1.37136699244945	0.0002687635712479	0.0028168384840528	NCU06738T0	NCU06738
3658_gene	3658	4044842	4045223	.	-	1	3658	3658_gene	-1.97319012353539	0.0007151811809274	0.0062263541059006	NCU08431T0	NCU08431
2850_gene	2850	828611	829057	.	-	0	2850	2850_gene	-2.65059909622125	0.0080007657639509	0.0438155343956908	NCU03407T1	NCU03407
3701_gene	3701	4263134	4263294	.	+	0	3701	3701_gene	-1.17760052235424	7.17572435024911e-08	2.48006473028342e-06	NCU09777T0	NCU09777
3634_gene	3634	3966571	3967644	.	-	0	3634	3634_gene	-2.39534358297936	2.7094636946280897e-12	2.20469274175486e-10	NCU16588T0	NCU16588
3223_gene	3223	2398458	2398805	.	-	0	3223	3223_gene	-1.16430256408288	9.24835872005429e-05	0.0011500907221785	NCU16555T2	NCU16555
3657_gene	3657	4037917	4038439	.	-	1	3657	3657_gene	-1.28828509742223	0.0011391343302001	0.0092255596930163	NCU08429T0	NCU08429
3758_gene	3758	4430768	4433785	.	+	0	3758	3758_gene	-1.63359231328314	3.58148203753739e-14	3.97968122321628e-12	NCU09485T0	NCU09485
3169_gene	3169	2194484	2196308	.	-	1	3169	3169_gene	-1.08755451647438	3.30933471672449e-05	0.0004850874462784	NCU01842T0	NCU01842
2823_gene	2823	727709	727950	.	+	0	2823	2823_gene	-1.86951105972224	7.38714662409968e-05	0.0009566262307449	NCU03435T0	NCU03435
2896_gene	2896	970404	971846	.	-	0	2896	2896_gene	-1.97390824036589	3.0882001467923e-11	2.1563148862805204e-09	NCU03361T0	NCU03361
3545_gene	3545	3488271	3488760	.	-	1	3545	3545_gene	-1.16878733847163	0.0020357665636813	0.0147839857126375	NCU08487T1	NCU08487
2888_gene	2888	943973	944175	.	-	2	2888	2888_gene	-1.83745050079337	9.27202658457045e-10	5.01660328402885e-08	NCU03368T0	NCU03368
3623_gene	3623	3883967	3884140	.	-	0	3623	3623_gene	-1.15003423140536	8.66348397980789e-06	0.0001593032801554	NCU08750T0	NCU08750
3070_gene	3070	1838433	1839032	.	-	0	3070	3070_gene	-1.67042365231969	1.02455918057517e-05	0.0001825481822769	NCU06832T0	NCU06832
3694_gene	3694	4219280	4221688	.	+	0	3694	3694_gene	-1.30865512008992	0.0002960246955639	0.0030530131776027	NCU09354T0	NCU09354
3331_gene	3331	2742848	2743262	.	-	1	3331	3331_gene	-1.08373432838578	1.82117967196629e-06	4.09131972393471e-05	NCU01674T0	NCU01674
3587_gene	3587	3769185	3769720	.	-	2	3587	3587_gene	-1.26217108918013	1.06323147884713e-13	1.0564840483082899e-11	NCU08713T0	NCU08713
3703_gene	3703	4267288	4268211	.	+	0	3703	3703_gene	-1.11620834076086	1.74890457032597e-05	0.0002855162690323	NCU09776T0	NCU09776
2800_gene	2800	619378	621963	.	-	0	2800	2800_gene	-1.97104973914007	6.88084958934679e-08	2.41859522640509e-06	NCU16511T0	NCU16511
2806_gene	2806	645869	645964	.	+	0	2806	2806_gene	-1.23525783533979	5.05840925541453e-05	0.0006923655794099	NCU03458T0	NCU03458
3116_gene	3116	1976835	1980104	.	+	0	3116	3116_gene	-1.10457945937939	0.0001397628297697	0.0016412603214092	NCU06774T0	NCU06774
2949_gene	2949	1400284	1400465	.	-	2	2949	2949_gene	-2.37686843347388	4.83914388051875e-08	1.74852142871611e-06	NCU05350T0	NCU05350
5092_gene	5092	4988116	4988526	.	+	0	5092	5092_gene	-1.68187281338354	5.81712680894043e-08	2.07290304977898e-06	NCU08541T0	NCU08541
4440_gene	4440	2790750	2790977	.	-	0	4440	4440_gene	-2.81318952417675	6.79797178594911e-10	3.77689464709667e-08	NCU00149T0	NCU00149
4115_gene	4115	1585601	1585607	.	-	1	4115	4115_gene	-1.10648006910051	0.0001244445651002	0.0014953606229599	NCU16635T0	NCU16635
4421_gene	4421	2731257	2732643	.	-	1	4421	4421_gene	-1.9929059593769	4.1394349264458e-07	1.14071788079709e-05	NCU00130T0	NCU00130
4196_gene	4196	1937668	1939986	.	+	0	4196	4196_gene	-1.02435434267107	4.28413868052542e-07	1.17745449799334e-05	NCU06217T0	NCU06217
4249_gene	4249	2104073	2104251	.	+	0	4249	4249_gene	-1.53190912462851	1.61472043184515e-07	5.05652149778419e-06	NCU06260T0	NCU06260
3899_gene	3899	540578	541594	.	+	0	3899	3899_gene	-1.6955307120107	2.8627677676688704e-09	1.4154948378512e-07	NCU11356T0	NCU11356
4932_gene	4932	4417543	4419923	.	+	0	4932	4932_gene	-1.39238263229415	1.0911420680909601e-09	5.81230006786185e-08	NCU07546T0	NCU07546
3886_gene	3886	498283	498380	.	+	0	3886	3886_gene	-1.4221365221965	0.000444909779616	0.0042492584681629	NCU05685T1	NCU05685
